# coor		Coordinating Conjunction
# subord	Subordinating Conjunction
# pron		Pronoun
# relpron	Relative Pronoun
# prep		Preposition
# det		Determiner

for coor
and coor
nor coor
but coor
yet coor
so coor
or coor

after subord
although subord
as subord
because subord
before subord
if subord
lest subord
once subord
since subord
than subord
that subord
though subord
till subord
unless subord
until subord
when subord
whenever subord
where subord
wherever subord
while subord
how subord
# inasmuch subord
now subord
provided subord
supposing subord
whereas subord
whether subord
# why subord

I pron
me pron
we pron
us pron
you pron
she pron
her pron
he pron
him pron
they pron
them pron
it pron
this pron
these pron
that pron
those pron
anybody pron
anyone pron
anything pron
each pron
either pron
everybody pron
everyone pron
everything pron
neither pron
nobody pron
nothing pron
one pron
something pron
somebody pron
someone pron
both pron
few pron
many pron
several pron
all pron
any pron
most pron
none pron
some pron
myself pron
ourselves pron
yourself pron
yourselves pron
himself pron
herself pron
itself pron
themselves pron
what pron
who pron
which pron
whom pron
whose pron

that relpron
which relpron
who relpron
whom relpron
whose relpron
whichever relpron
whoever relpron
whomever relpron

with prep
at prep
from prep
into prep
during prep
including prep
until prep
against prep
amoung prep
throughout prep
dispite prep
towards prep
upon prep
concerning prep
of prep
to prep
in prep
for prep
on prep
by prep
about prep
like prep
through prep
over prep
before prep
between prep
after prep
since prep
without prep
under prep
within prep
along prep
following prep
across prep
behind prep
beyond prep
plus prep
except prep
but prep
up prep
out prep
around prep
down prep
off prep
above prep
near prep

a det
an det
few det
fewer det
fewest det
little det
other det
all det
any det
both det
each det
either det
enough det
every det
half det
her det
his det
its det
least det
less det
many det
more det
most det
much det
my det
neither det
no det
one det
two det
three det
four det
five det
six det
seven det
eight det
nine det
ten det
our det
several det
some det
such det
that det
the det
their det
these det
this det
those det
what det
which det
whose det
your det
